entry_time,exit_time,side,entry,exit,stop,target,qty,notional,bars_held,reason,net,r_mult,equity,year
2023-01-09 00:00:00+00:00,2023-01-11 20:00:00+00:00,L,17132.968349000002,17660.604375456478,16957.08967351451,17660.604375456478,1.1371475219944902,19482.712502475384,17,target,563.656981870421,2.818284909352105,10563.656981870421,2023
2023-01-12 04:00:00+00:00,2023-01-12 12:00:00+00:00,L,18230.147404,17890.810523947912,17896.17937776124,19232.051482716284,0.6326148704018889,11532.66233738879,2,stop,-227.248150189662,-1.075613069317142,10336.40883168076,2023
2023-01-12 20:00:00+00:00,2023-01-14 00:00:00+00:00,L,18891.015604999997,20374.18886281486,18396.62451906171,20374.18886281486,0.4181470550612233,7899.222542346362,7,target,609.2104872037271,2.9469155928532773,10945.619318884486,2023
2023-01-21 00:00:00+00:00,2023-02-09 16:00:00+00:00,L,22672.7998,21914.408248692755,21920.98454405597,24928.245567832095,0.2911784306675289,6601.830264603063,118,stop,-266.2694769360472,-1.2163289676841413,10679.349841948439,2023
2023-02-16 00:00:00+00:00,2023-02-16 20:00:00+00:00,L,24330.166860999998,23620.372466069235,23627.46070428052,26438.285331158437,0.30394923225958403,7395.135538148523,5,stop,-224.87751009334633,-1.05286142612366,10454.472331855091,2023
2023-03-03 04:00:00+00:00,2023-03-10 00:00:00+00:00,S,22312.994093,19984.120877299734,23089.28516490009,19984.120877299734,0.2693441341858076,6009.8740750721245,41,target,609.2518581522916,2.9138336149969177,11063.724190007382,2023
2023-03-10 12:00:00+00:00,2023-03-11 00:00:00+00:00,S,19755.191663999998,20465.78947185686,20459.651576383945,17641.811926848153,0.31410514624080915,6205.207366635933,3,stop,-230.45001804108713,-1.041466752439593,10833.274171966295,2023
2023-03-14 16:00:00+00:00,2023-03-14 16:00:00+00:00,L,25902.438400999996,24479.402164037983,24486.74818849453,30149.509038516393,0.15304582988948887,3964.2601812424095,0,stop,-221.6451271489846,-1.0229830964794777,10611.629044817311,2023
2023-03-17 12:00:00+00:00,2023-06-05 16:00:00+00:00,L,26928.186032999998,25523.782038996324,25531.441471437753,31118.41971768673,0.151948027389465,4091.6847488908925,481,stop,-315.78642129818786,-1.4879262173813785,10295.842623519124,2023
2023-06-15 00:00:00+00:00,2023-06-16 12:00:00+00:00,S,25121.061419999998,25778.7097810655,25770.978487519245,23171.310217442257,0.3168355822018544,7959.246120534243,9,stop,-220.0114914377393,-1.0684482051773012,10075.831132081385,2023
