strat,tf,direction,rr,ema_fast,ema_slow,ema_pull,atr_n,atr_mult,n_trades,avg_monthly,total_return,cagr,max_dd,sharpe,sortino,win_rate,profit_factor,expectancy_R,mar_monthly,pct_long,ema_trend,n,adx_n,adx_max,k
H1_trend_pullback,15m,both,2.0,50.0,200.0,20.0,14,1.0,8781,-0.3879261004732491,-0.9999999999999997,-0.998784600441765,-0.9999999999999997,-9.523544419536984,-12.67057041360156,0.3073681813005352,0.8075819347589877,-0.3953260915072637,-0.3879261004732492,0.52909691379114,,,,,
H1_trend_pullback,15m,short,2.0,50.0,200.0,20.0,14,1.0,4167,-0.20806666985830463,-0.9999999141670991,-0.9531222721358104,-0.999999915129823,-6.283000985664086,-6.719093126666516,0.3095752339812815,0.7376442020752353,-0.37938935586950917,-0.20806668751696122,0.0,,,,,
H1_trend_pullback,15m,both,2.5,50.0,200.0,20.0,14,1.0,8277,-0.3667518027604726,-0.9999999999999969,-0.9981254472060694,-0.9999999999999967,-8.443340792933023,-11.585180506293565,0.2656759695541863,0.8291250871559108,-0.3899175152844862,-0.3667518027604738,0.5253111030566631,,,,,
H1_trend_pullback,15m,short,2.5,50.0,200.0,20.0,14,1.0,3961,-0.20087197450221822,-0.9999998346423152,-0.9469694651721318,-0.9999998349910993,-5.709831771183967,-6.240846478944147,0.26609442060085836,0.7261119899380304,-0.38079470230906004,-0.20087200764788737,0.0,,,,,
H1_trend_pullback,15m,both,3.0,50.0,200.0,20.0,14,1.0,7816,-0.3487620921339225,-0.9999999999999741,-0.997217135216053,-0.9999999999999729,-7.541726302562151,-10.75598564263658,0.234007164790174,0.8136756566013608,-0.384522677549828,-0.34876209213393194,0.5239252814738997,,,,,
H1_trend_pullback,15m,short,3.0,50.0,200.0,20.0,14,1.0,3751,-0.18849681940704763,-0.9999994759149446,-0.9341206228801741,-0.9999994820878599,-5.100757814056852,-5.815390990638111,0.23513729672087444,0.742037571160803,-0.3698004328951228,-0.1884969170318893,0.0,,,,,
H1_trend_pullback,15m,both,2.0,50.0,200.0,20.0,14,1.5,5712,-0.1742832816618064,-0.9999983255833831,-0.9180350276113453,-0.9999984621212605,-4.916019193210864,-7.586617000973468,0.32598039215686275,0.8629731393099735,-0.22235040712747337,-0.1742835496887721,0.5215336134453782,,,,,
H1_trend_pullback,15m,short,2.0,50.0,200.0,20.0,14,1.5,2784,-0.08718587699911365,-0.9978854938309933,-0.6860017889787762,-0.9978971768193547,-3.351464335743666,-4.253304864247772,0.32794540229885055,0.7733790700710151,-0.21072984624209656,-0.08736959981889653,0.0,,,,,
H1_trend_pullback,15m,both,2.5,50.0,200.0,20.0,14,1.5,5218,-0.15974872608174912,-0.9999953303130892,-0.9005961110124237,-0.999996037321943,-4.176384521003981,-6.752041863143849,0.2801839785358375,0.8699221469844356,-0.2223094600848666,-0.15974935911702912,0.5214641625143733,,,,,
H1_trend_pullback,15m,short,2.5,50.0,200.0,20.0,14,1.5,2547,-0.07763068333302658,-0.9959957838814406,-0.6459348580428012,-0.9960134656831463,-2.777553127473602,-3.755469789862158,0.2838633686690224,0.7990867206447743,-0.20377474508350407,-0.07794139939642403,0.0,,,,,
