time;open;high;low;close;Volume
"2021-09-01 02:00:00";47099.77486941;52853.7637963;39787.6097979604;43790.8956254849;1102139678824.68
"2021-10-01 02:00:00";43816.7406442989;66930.3872709899;43320.0229785376;61318.957766606;1153077903531.53
"2021-11-01 01:00:00";61320.4494915952;68789.6259389221;53569.7639630968;57005.4254735998;1053270271384.16
"2021-12-01 01:00:00";56907.9667338266;59041.6852434855;42874.6168583905;46306.4461226996;957047184721.19
"2022-01-01 01:00:00";46311.744663041;47881.4062331606;33184.0595656615;38483.126309273;923979037677.66
"2022-02-01 01:00:00";38481.7653685119;45661.1731433747;34459.2177282867;43193.2340330233;671335993322.1
"2022-03-01 01:00:00";43194.5042113042;48086.8367491568;37260.2017138385;45538.6769223388;830943838434.68
"2022-04-01 02:00:00";45554.1638120546;47313.4768544721;37697.9427790922;37714.875545299;830115888651.02
"2022-05-01 02:00:00";37713.265089741;39902.9502136511;26350.4901742248;31792.3099432754;1089422059065.44
"2022-06-01 02:00:00";31792.5538087129;31957.2843170438;17708.6237125896;19784.7264946249;923939211678.26
"2022-07-01 02:00:00";19820.4704741998;24572.5794217469;18966.9506341661;23336.8956049843;927582363389.69
"2022-08-01 02:00:00";23336.7180518604;25135.5903960686;19600.7850348256;20049.7631893726;894192654541.42
"2022-09-01 02:00:00";20050.4986698419;22673.8197662856;18290.315188225;19431.7894465994;1123272250383.71
"2022-10-01 02:00:00";19431.1049459172;20988.3944704236;18319.8226296141;20495.7742320325;957903424925.88
"2022-11-01 01:00:00";20494.8976229392;21446.8860966908;15599.0471753829;17168.5655484864;1224531549126.67
"2022-12-01 01:00:00";17168.0021376253;18318.530584361;16398.1362516753;16547.4953660162;567256839394.97
"2023-01-01 01:00:00";16547.9143978715;23919.8897614092;16521.233430529;23139.2839099123;690928920787.36
"2023-02-01 01:00:00";23137.8351361505;25134.1173501961;21460.0885038644;23147.3533899085;723968574896.01
"2023-03-01 01:00:00";23150.9299581785;29159.9026178662;19628.2543094205;28478.4846056804;883299703607.68
"2023-04-01 02:00:00";28473.3318011971;31005.6080444729;27070.8494995525;29268.8070431626;531060399718.28
"2023-05-01 02:00:00";29227.1039819099;29820.1266220765;25878.428829536;27219.6586081109;443473015482.63
"2023-06-01 02:00:00";27218.4123755644;31389.5381281357;24797.1678486154;30477.2512822446;481734214225.81
"2023-07-01 02:00:00";30471.8475630488;31814.5148120678;28934.2941602457;29230.110878649;382224489087.03
